ADM3_EN,ADM3_PCODE,ADM3_REF,ADM3ALT1_EN,ADM3ALT2_EN,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,AREA_SQKM
Preaek Anteah,KH141102,,,,Pur Rieng,KH1411,Prey Veng,KH14,Cambodia,KH,27.06944847
Preaek Bak,KH031509,,,,Stueng Trang,KH0315,Kampong Cham,KH03,Cambodia,KH,22.63558006
Preaek Changkran,KH141207,,,,Sithor Kandal,KH1412,Prey Veng,KH14,Cambodia,KH,7.614515305
Preaek Chik,KH021401,,,,Rukh Kiri,KH0214,Battambang,KH02,Cambodia,KH,100.522789
Preaek Chrey,KH141103,,,,Pur Rieng,KH1411,Prey Veng,KH14,Cambodia,KH,32.07567596
Preaek Dach,KH080505,,,,Leuk Daek,KH0805,Kandal,KH08,Cambodia,KH,61.94179916
Preaek Dambang,KH080704,,,,Mukh Kampul,KH0807,Kandal,KH08,Cambodia,KH,17.67462921
Preaek Dambouk,KH031408,,,,Srei Santhor,KH0314,Kampong Cham,KH03,Cambodia,KH,25.53223419
Preaek Kampues,KH120517,,,,Dangkao,KH1205,Phnom Penh,KH12,Cambodia,KH,11.28438473
Preaek Khpob,KH020503,,,,Aek Phnum,KH0205,Battambang,KH02,Cambodia,KH,26.96101761
Preaek Khsach,KH090203,,,,Kiri Sakor,KH0902,Koh Kong,KH09,Cambodia,KH,289.8271179
Preaek Khsay Ka,KH140706,,,,Peam Ro,KH1407,Prey Veng,KH14,Cambodia,KH,6.468603134
Preaek Khsay Kha,KH140707,,,,Peam Ro,KH1407,Prey Veng,KH14,Cambodia,KH,3.95055151
Preaek Kmeng,KH080609,,,,Lvea Aem,KH0806,Kandal,KH08,Cambodia,KH,20.1824894
Preaek Koy,KH030705,,,,Kang Meas,KH0307,Kampong Cham,KH03,Cambodia,KH,44.33683395
Preaek Koy,KH081008,,,,S'ang,KH0810,Kandal,KH08,Cambodia,KH,15.25171471
Preaek Krabau,KH030706,,,,Kang Meas,KH0307,Kampong Cham,KH03,Cambodia,KH,45.41141891
Preaek Krabau,KH140607,,,,Peam Chor,KH1406,Prey Veng,KH14,Cambodia,KH,16.30427933
Preaek Kroes,KH070612,,,,Kampong Trach,KH0706,Kampot,KH07,Cambodia,KH,33.4830513
Preaek Lieb,KH121002,,,,Chraoy Chongvar,KH1210,Phnom Penh,KH12,Cambodia,KH,14.06427288
Preaek Luong,KH020504,,,,Aek Phnum,KH0205,Battambang,KH02,Cambodia,KH,63.90649033
Preaek Luong,KH080308,,,,Khsach Kandal,KH0803,Kandal,KH08,Cambodia,KH,14.25327015
Preaek Meas,KH190301,,,,Siem Pang,KH1903,Stung Treng,KH19,Cambodia,KH,748.5512695
Preaek Norint,KH020501,,,,Aek Phnum,KH0205,Battambang,KH02,Cambodia,KH,90.89735413
